Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
NGC2136_2016-10-03,1.215e-01 $\pm$ 0.000e+00,-2.878e-01 $\pm$ 1.753e-01,1.981e-01 $\pm$ 0.000e+00,-7.617e-01 $\pm$ 0.000e+00,9.779e-01 $\pm$ 0.000e+00,-1.499e+00 $\pm$ 0.000e+00,9.815e-01 $\pm$ 8.600e-01,-3.482e-01 $\pm$ 2.124e-01,2.420e+00 $\pm$ 0.000e+00,-9.934e-01 $\pm$ 0.000e+00
NGC2808_2015-01-31,6.013e+00 $\pm$ 7.740e-01,-9.172e-01 $\pm$ 8.860e-02,8.993e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,7.130e+00 $\pm$ 0.000e+00,-1.006e+00 $\pm$ 0.000e+00,1.199e+01 $\pm$ 6.020e-01,-7.808e-01 $\pm$ 1.188e-01,7.100e+00 $\pm$ 4.000e-02,-9.934e-01 $\pm$ 0.000e+00
NGC3201_2015-04-15,1.281e+01 $\pm$ 4.902e+00,-1.775e+00 $\pm$ 1.594e-01,6.740e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 4.766e-01,-1.616e+00 $\pm$ 1.594e-01,7.733e+00 $\pm$ 4.816e+00,-1.775e+00 $\pm$ 2.544e-01,6.780e+00 $\pm$ 0.000e+00,-1.303e+00 $\pm$ 0.000e+00
NGC4147_2015-01-30,4.938e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,4.964e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,4.964e+00 $\pm$ 5.199e-01,-2.029e+00 $\pm$ 0.000e+00,1.928e+00 $\pm$ 0.000e+00,-1.499e+00 $\pm$ 3.374e-01,4.180e+00 $\pm$ 0.000e+00,1.993e-01 $\pm$ 0.000e+00
NGC4590_2015-04-13,5.927e+00 $\pm$ 4.300e-02,-2.029e+00 $\pm$ 0.000e+00,5.007e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,7.000e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,1.928e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,2.980e+00 $\pm$ 0.000e+00,-1.466e+00 $\pm$ 0.000e+00
NGC4833_2015-01-30,4.938e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 2.544e-01,4.400e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,4.011e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,1.928e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,3.620e+00 $\pm$ 0.000e+00,-1.405e+00 $\pm$ 0.000e+00
NGC5024_2015-01-30,7.776e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.863e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.083e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,1.122e+01 $\pm$ 3.139e+00,-2.029e+00 $\pm$ 8.675e-01,6.860e+00 $\pm$ 0.000e+00,-1.466e+00 $\pm$ 0.000e+00
NGC5139_2015-04-13,9.754e+00 $\pm$ 3.053e+00,-2.029e+00 $\pm$ 1.138e+00,1.298e+01 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.126e+00 $\pm$ 3.899e-01,-2.029e+00 $\pm$ 0.000e+00,7.174e+00 $\pm$ 9.030e-01,-1.616e+00 $\pm$ 1.594e-01,1.078e+01 $\pm$ 0.000e+00,-1.221e+00 $\pm$ 8.212e-02
NGC5272_2016-04-02,7.905e+00 $\pm$ 4.730e-01,-1.775e+00 $\pm$ 5.074e-01,9.989e+00 $\pm$ 1.733e-01,-2.029e+00 $\pm$ 4.137e-01,8.689e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,5.798e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,1.270e+01 $\pm$ 0.000e+00,-1.303e+00 $\pm$ 0.000e+00
NGC5286_2015-04-14,7.131e+00 $\pm$ 2.193e+00,-1.775e+00 $\pm$ 5.074e-01,8.993e+00 $\pm$ 3.769e+00,-2.029e+00 $\pm$ 4.137e-01,6.783e+00 $\pm$ 2.166e-01,-1.775e+00 $\pm$ 2.544e-01,6.013e+00 $\pm$ 1.075e+00,-2.029e+00 $\pm$ 4.137e-01,6.140e+00 $\pm$ 0.000e+00,-5.732e-01 $\pm$ 0.000e+00
NGC5634_2015-08-10,8.679e+00 $\pm$ 4.730e-01,-2.029e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,6.827e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,5.110e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,6.860e+00 $\pm$ 0.000e+00,-1.466e+00 $\pm$ 0.000e+00
NGC5694_2015-08-11,8.980e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,7.520e+00 $\pm$ 2.599e-01,-2.029e+00 $\pm$ 0.000e+00,4.895e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,1.380e+00 $\pm$ 0.000e+00,-5.817e-01 $\pm$ 0.000e+00
NGC5824_2016-04-01,6.830e+00 $\pm$ 8.600e-02,-1.775e+00 $\pm$ 0.000e+00,8.733e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,1.091e+01 $\pm$ 3.010e-01,-2.029e+00 $\pm$ 0.000e+00,2.180e+00 $\pm$ 0.000e+00,-1.185e+00 $\pm$ 0.000e+00
NGC5904_2015-04-15,7.002e+00 $\pm$ 3.139e+00,-1.408e+00 $\pm$ 1.400e-01,8.993e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,8.863e+00 $\pm$ 8.665e-02,-1.775e+00 $\pm$ 0.000e+00,3.906e+00 $\pm$ 0.000e+00,-8.668e-01 $\pm$ 0.000e+00,8.820e+00 $\pm$ 1.720e+00,-1.405e+00 $\pm$ 0.000e+00
NGC5927_2015-01-31,8.525e-01 $\pm$ 0.000e+00,-3.136e-01 $\pm$ 3.820e-02,2.484e-02 $\pm$ 8.058e+00,1.442e-01 $\pm$ 6.897e-01,1.194e+01 $\pm$ 1.256e+00,3.478e-01 $\pm$ 1.492e-01,6.013e+00 $\pm$ 3.440e+00,-1.776e-01 $\pm$ 4.159e-01,8.900e+00 $\pm$ 0.000e+00,-3.461e-03 $\pm$ 0.000e+00
